"Année","Investissements spécifiques","Investissements intégrés","Total investissements","Études","Total investissements et études"
"2005",90,37,127,"nd","nd"
"2006",139,49,188,"11,6748921464","199,6748921464"
"2007",110,57,167,"10,43337","177,43337"
"2008",140,44,184,"12,3654614525","196,3654614525"
"2009",103,44,147,"7,658639536","154,658639536"
"2010",120,56,176,"13,8028556162","189,8028556162"
"2011",108,48,156,"14,2796892404","170,2796892404"
"2012","126,2765169099","62,2201782249","188,4966951348","18,3787580877","206,8754532224"
"2012 nouveau champ","132,7666783205","63,5595123745","196,3261906951","20,2112394983","216,5374301933"
"2013","133,3330665907","64,2854816895","197,6185482803","15,9944486885","213,6129969688"
"2014","170,1497823755","64,814310912","234,9640932875","19,4457578509","254,4098511384"
"2015","196,4826744614","45,1642137599","241,6468882213","17,989030234","259,6359184553"
"2016","157,5527232347","26,4796127464","184,0323359811","21,4957211984","205,5280571795"
"2017","133,347303643","24,5433296263","157,8906332693","27,4621621293","185,3527953986"
"2018","159,7414672251","28,0937314713","187,8351986964","29,3248488613","217,1600475577"
"2019","181,6179356142","40,681586627","222,2995222413","24,7027610286","247,0022832698"
